timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665140237397,51,Get Users,200,OK,endurance 1-1,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,51,0,35
1665140237448,6,Delete Users,200,OK,endurance 1-1,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,6,0,0
1665140237455,6,Get User by ID,200,OK,endurance 1-1,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,5,0,0
1665140239411,31,Get Users,200,OK,endurance 1-2,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,31,0,15
1665140239442,4,Delete Users,200,OK,endurance 1-2,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,4,0,0
1665140239447,3,Get User by ID,200,OK,endurance 1-2,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,3,0,0
1665140241401,35,Get Users,200,OK,endurance 1-3,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,34,0,17
1665140241436,7,Delete Users,200,OK,endurance 1-3,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,7,0,0
1665140241443,5,Get User by ID,200,OK,endurance 1-3,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,5,0,0
1665140243401,33,Get Users,200,OK,endurance 1-4,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,33,0,17
1665140243434,5,Delete Users,200,OK,endurance 1-4,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,5,0,0
1665140243439,6,Get User by ID,200,OK,endurance 1-4,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,6,0,0
1665140245401,20,Get Users,200,OK,endurance 1-5,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,20,0,16
1665140245421,4,Delete Users,200,OK,endurance 1-5,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,4,0,0
1665140245425,4,Get User by ID,200,OK,endurance 1-5,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,4,0,0
1665140247401,29,Get Users,200,OK,endurance 1-6,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,29,0,14
1665140247431,3,Delete Users,200,OK,endurance 1-6,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,3,0,0
1665140247434,4,Get User by ID,200,OK,endurance 1-6,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,4,0,0
1665140249403,28,Get Users,200,OK,endurance 1-7,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,28,0,15
1665140249431,5,Delete Users,200,OK,endurance 1-7,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,5,0,0
1665140249436,4,Get User by ID,200,OK,endurance 1-7,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,4,0,0
1665140251403,33,Get Users,200,OK,endurance 1-8,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,33,0,18
1665140251436,7,Delete Users,200,OK,endurance 1-8,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,7,0,0
1665140251443,6,Get User by ID,200,OK,endurance 1-8,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,5,0,0
1665140253401,30,Get Users,200,OK,endurance 1-9,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,30,0,16
1665140253431,5,Delete Users,200,OK,endurance 1-9,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,5,0,0
1665140253436,10,Get User by ID,200,OK,endurance 1-9,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,10,0,0
1665140255422,30,Get Users,200,OK,endurance 1-10,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,30,0,23
1665140255452,7,Delete Users,200,OK,endurance 1-10,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,7,0,0
1665140255459,8,Get User by ID,200,OK,endurance 1-10,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,8,0,0
1665140257414,30,Get Users,200,OK,endurance 1-11,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,30,0,25
1665140257445,4,Delete Users,200,OK,endurance 1-11,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,3,0,0
1665140257449,4,Get User by ID,200,OK,endurance 1-11,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,4,0,0
1665140259404,21,Get Users,200,OK,endurance 1-12,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,21,0,16
1665140259425,6,Delete Users,200,OK,endurance 1-12,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,6,0,0
1665140259431,5,Get User by ID,200,OK,endurance 1-12,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,5,0,0
